shelfmark,title,additional_titles,authors,language,language_codes,date,place,source_file
"Islamic Manuscripts, Garrett no. 673Y",Lawāmiʻ al-taʻrīf fī maṭāliʻ al-taṣrīf ... etc..,Inscriptions|Kanz al-asrār wa-dhakhīrat al-abrār|Lawāwiʻ al-taʻrīf fī maṭāliʻ al-taṣrīf|Kitāb al-Qaṣr|Sharḥ Junnat al-asmāʼ|Inscriptions,"Umawī, Yaʻīsh ibn Ibrāhīm, active 15th century","",ara,18--?,"",Data/0050/islamic_mss_garrett_no_00673Y/data/islamic_mss_garrett_no_00673Y_TEI.xml
"Islamic Manuscripts, Garrett no. 1S",Kitāb Kāmil al-ṣināʻah al-ṭibbīyah al-maʻrūf bi-al-Malakī /|كتاب كامل الصناعة الطبية المعروف بالملكي,Title Page|[Juzʾ 1]: Maqālah 1|[Juzʾ 1]: Maqālah 2|[Juzʾ 1]: Maqālah 3|[Juzʾ 1]: Maqālah 4|[Juzʾ 1]: Maqālah 5|[Juzʾ 1]: Maqālah 6|[Juzʾ 1]: Maqālah 7|[Juzʾ 1]: Maqālah 8|[Juzʾ 1]: Maqālah 9|[Juzʾ 1]: Maqālah 10|Juzʾ 2: Maqālah 1|Juzʾ 2: Maqālah 2|Juzʾ 2: Maqālah 3|Juzʾ 2: Maqālah 4|Juzʾ 2: Maqālah 5|Juzʾ 2: Maqālah 6|Juzʾ 2: Maqālah 7|Juzʾ 2: Maqālah 8|Juzʾ 2: Maqālah 9|Juzʾ 2: Maqālah 10|Colophon,"Majūsī, ʻAlī ibn al-ʻAbbās, active 10th century-11th century","",ara,1190,Ḥarrān,Data/0050/islamic_mss_garrett_no_00001S/data/islamic_mss_garrett_no_00001S_TEI.xml
"Islamic Manuscripts, New Series no. 2004",Philosophical miscellany.,"","Abū Saʻīd ibn Abī al-Khayr, 967-1049|Avicenna, 980-1037",Arabic and Persian,ara|per,16--?,"",Data/0050/islamic_mss_new_series_no_02004/data/islamic_mss_new_series_no_02004_TEI.xml
"Islamic Manuscripts, Third Series no. 616",Ghunyat al-ṭālibīn fī īḍāḥ ṭarīq al-mashāyikh al-ʻārifīn /|غنية الطالبين في ايضاح طريق المشايخ العارفين,"","Abū al-Hudá al-Ṣayyādī, Muḥammad ibn Ḥasan Wādī, 1849 or 1850-1910 or 1911",Arabic,ara,1888,"",Data/0050/islamic_mss_third_series_no_00616/data/islamic_mss_third_series_no_00616_TEI.xml
"Islamic Manuscripts, Garrett no. 3875Y",Khuṭbat ʻĀʼishah ... wa-tafsīr gharībihā wa-lughatihā.|خطبة عائشة ... وتفسير غريبها ولغتها,"","Ibn al-Anbārī, Muḥammad ibn al-Qāsim, 885-940?|ʻĀʼishah, approximately 614-678|Mundhirī, ʻAbd al-ʻAẓīm ibn ʻAbd al-Qawī, 1185-1258","",ara,1249?,Cairo,Data/0050/islamic_mss_garrett_no_03875Y/data/islamic_mss_garrett_no_03875Y_TEI.xml
"Islamic Manuscripts, Garrett no. 541H",Bayān al-ḥikmah.|بىان الحکمة,"","Khāṭirī, Aḥmad ibn Muḥammad|Ptolemy, active 2nd century|Archimedes","",ara,"","",Data/0050/islamic_mss_garrett_no_00541H/data/islamic_mss_garrett_no_00541H_TEI.xml
"Islamic Manuscripts, Garrett no. 96G",Portrait of Riz̤ā ʻAbbāsī.,"","Muʻīn Muṣavvir, active 1635-1697",Persian,per,1673 or 4,Iran,Data/0050/islamic_mss_garrett_no_00096G/data/islamic_mss_garrett_no_00096G_TEI.xml
"Islamic Manuscripts, Third Series no. 586",Collection of eight Sufi texts.,"","Khīwafī, Abū al-Najīb al-Kubrá|Bisṭāmī, Muḥammad ibn ʻAlī",Arabic,ara|ota,1471-1587,"",Data/0050/islamic_mss_third_series_no_00586/data/islamic_mss_third_series_no_00586_TEI.xml
"Islamic Manuscripts, Garrett no. 2406Yq",Kitāb Faḍāʾil ahl al-bayt.|كتاب فضائل اهل البيت,[al-Bāb al-awwal]|al-Bāb al-thānī fī al-ḥaml bi-hi wa-mawlidih|al-Bāb al-thālith fī riḍāʻatih|al-Bāb al-rābiʻ fī mabʻathih|al-Bāb al-khāmis fī nikāḥih|al-Bāb al-sādis fī faḍl Fāṭimah|al-Bāb al-sābiʻ fī dhikr azwājih|al-Bāb al-thāmin fī faḍl ʻAlī|al-Bāb al-ʻāshir fī akhbār Abī al-Ḥusayn Zaydi ibn ʻAlī ibn al-Ḥusayn|Colophon,"",Arabic,ara,"",1669,Data/0050/oversize_islamic_mss_garrett_no_02406Yq/data/oversize_islamic_mss_garrett_no_02406Yq_TEI.xml
"Islamic Manuscripts, Garrett no. 83G",Kullīyāt-i Saudā.|[كليات سودا],[Qaṣīdahs]|[Mars̱iyahs]|[Daftar-i Fārisı̄]|[Ghazals]|[Mas̱navī],"Saudā, Mirzā Muḥammad Rafiʻ, 1713-1781",In Urdu and Persian,urd|per,18--?,India,Data/0050/islamic_mss_garrett_no_00083G/data/islamic_mss_garrett_no_00083G_TEI.xml
BV 55,Vaṣiyyet.|وصيت,Table of contents|Vaṣiyyet,"Birgivî Mehmet Efendi, approximately 1522-1573",Ottoman Turkish,ota|ara,1784,Turkey,Data/0003/bv_055/data/bv_055_TEI.xml
BV 52,al-Qurʼān.|[القرآن],al-Qurʼān.,"",Arabic,ara,1754 or 1755,Turkey,Data/0003/bv_052/data/bv_052_TEI.xml
9LS 30,"Mary Whitall Worthington Diary, Volume 11","July 24, 1908|July 27, 1908|""American Line Passenger List"" pamphlet|August 9, 1908|July 19, 1908|August 12, 1908|August 16, 1908|August 22, 1908|Letter from Belfast|August 25, 1908|August 26, 1908|September 3, 1908|August 9, 1908|August 11, 1908|September 3, 1908|September 24, 1908|September 25, 1908|October 10, 1908|October 31, 1908|English Literature reading list|English Literature reading list|November 8, 1908|Invitation to join Bryn Mawr Chapter of the College Equal Suffrage League|November 15, 1908|Emblem from the Christian Union of Bryn Mawr College|Flyer for the ""40th Annual Convention of the National American Woman Suffrage Ass'n""|Song, ""America,"" lyrics|List of committees and officers|Program schedule|""Declaration of Rights Ratified by the Seneca Falls Convention in 1848""|""The Twentieth Century Club"" card|Letter from Bryn Mawr Varsity Hockey Team|November 16, 1908|Porgram from student play, ""Le Bourgeois gentilhomme""|November 28, 1908|November 29, 1908|Letter from Bryn Mawr Department of Economics and Politics|Invitation for Bryn Mawr College Chapter of the Equal Suffrage League of Pennsylvania address by Mrs. Philip Snowdon|December 6, 1908|Program for play, ""Miss Hobbs""|Program for ""Expositions of Classical and Modern Chamber Music""|Advertisement for opera ""Thais"" at Philadelphia Opera House|Invitation to debutante ball|""Give of Dance""|Advertisement for opera ""Aida""|December 9, 1908|January 2, 1909|January 14, 1909|Program for ""The Oaks Peerless Minstrel Entertainers""|Name card|New Year's card to the Whitall family from M. Carey Thomas and Mary Garrett|January 31, 1909|Program for ""Expositions of Classical and Modern Chamber Music""|Invitation to oyster roast|February 3, 1909|Advertisement for opera ""Carmen""|English Composition exam|English Literature exam|Law exam on torts|Ticket stub for play, ""Votes for Women""|Newspaper clipping, ""Gift of $250,000 for Bryn Mawr""|Advertisement for opera ""Le Nozze di Figaro""|February 12, 1909|February 15, 1909|Program, ""Haverford College Musical Clubs"" 1909|Handmade play program for, ""A Doll's House""|February 19, 1909|Invitation to the ""Modern Democratice Ideal"" lecture|Envelope from National American Woman Suffrage Association|Letter from Anna Howard Shaw of the National American Woman Suffrage Association regarding a lecture|Voice training notes|Advertisement for play ""Hedda Gabler""|Advertisement for play ""The Master Builder""|February 21, 1909|March 11, 1909|March 16, 1909|March 26, 1909|April 19, 1909|Letter from M. Carey Thomas|Program for the play, ""In a Balcony""|Card with butterly, ""To the Class of 1911 from the Class of 1912""|Play program, ""Sumscrumrudent""|Oxford v. Cambridge Gymnastic Competition program|April 8, 1909|Aptil 9, 1909|April 12, 1909|April 18, 1909|Play program, ""When Knighthood was in Favor""|April 19, 1909|April 20, 1909|Wedding invitation|May 18, 1909|Program for ""Expositions of Classical and Modern Chamber Music""|April 30, 1909|May 18, 1909|Program for ""Annual Concert Glee and Mandolin Clubs of Bryn Mawr College""|Invitation to Haverford College Junior Play|James Whitall name card|Play program for ""The Medea of Euripides""|June 21, 1909|July 4, 1909|Program for play, ""Great Caesar!""|May 26, 1909|July 6, 1909|July 17, 1909|Final examinations paper|English Composition exam|Newspaper clipping, ""Bryn Mawr holds closing exercises"" [partial]|Newspaper clipping, ""Bryn Mawr holds closing exercises"" [full]|Letter","",Primary language: English.,eng,From 1908 to 1909,Bryn Mawr (Pa.),Data/0003/9ls_30_v11/data/9ls_30_v11_TEI.xml
BV 62,Dalāʼil al-khayrāt wa shawāriq al-anwār fī dhikr al-ṣalāh ʻalá al-nabī al-mukhtār.|[دلائل الخيرات و شوارق الانوار في ذكر الصلوة على النبي المختار],[Dalāʼil al-khayrāt wa shawāriq al-anwār fī dhikr al-ṣalāh ʻalá al-nabī al-mukhtār].,"Jazūlī, Muḥammad ibn Sulaymān, 1404-1465",Arabic with a note in Persian,ara|per,between 1750 and 1850?,"",Data/0003/bv_062/data/bv_062_TEI.xml
BV 65,Shāhnāmah.|شاهنامه,Shāhnāmah.,Firdawsī,Persian,per,1849,India?,Data/0003/bv_065/data/bv_065_TEI.xml
BV 53,Devotional book.,[Devotional book],"",Arabic,ara,1771 or 1772,Iran?,Data/0003/bv_053/data/bv_053_TEI.xml
9LS 30,"Mary Whitall Worthington Diary, Volume 10","Table of Contents|Table of Contents|October 9, 1907|October 15, 1907|October 17, 1907|October 22; October 30, 1907|November 1, 1907|November 6, 1907|May 26, 1909: Letter from M. Carey Thomas|November 10, 1907|November 15, 1907|November 17, 1907|November 18, 1907|Letter to join Bryn Mawr Chapter of the College Women's Equal Suffrage League|Program for student production of Patience of Bunthorne's Bride|Letter from Bryn Mawr Varsity Hockey Team|November 23, 1907|December 7, 1907|Newspaper clipping describing intellectual women interested in politics as abnormal and the result of a shooting|Letter about Bryn Mawr Chapter Women's Suffrage League|December 23, 1907|January 3, 1908|Invitation to Haverford College event|January 17, 1908|January 28, 1908|January 12, 1908|January 29, 1908|Philosophy exam|Philosophy exam|Psychology Reading List|Biology exam|Physics exam|Psychology exam|Philosophy exam|Biology exam|German opera program|January 30, 1908|February 9, 1908|February 10, 1908|February 15, 1908|Envelopes|Letter to attend spelling class|Letter from M. Carey Thomas|Letter from M. Carey Thomas|Bryn Mawr College Skating Pond Ticket|Letter from M. Carey Thomas|March 3, 1908|March 24, 1908|April 7, 1908|Letter in Esperanto|Letter in Esperanto|Program for German opera Tannhaeuser|Flyer for address by Jane Addams of Hull House as a part of the College Equal Suffrage League of Pennsylvania, Bryn Mawr College Chapter|April 8, 1908|Bryn Mawr College Program|Program for play Everyfreshman|Peacock feather|April 10, 1908|Letter concerning Suffrage books|May 7, 1908|May 20, 1908|April 26, 1908|May 10, 1908|May 20, 1908|May 25, 1908|July 9, 1908|Pamphlet on Bryn Mawr College Glee and Mandolin Clubs|Glee and Mandolin Clubs Annual Concert Program at Bryn Mawr College|July 13, 1908|Glass Dinner Pamphlet|Invitation for the Transatlantic Society of America reception for the Delegates of the Pennsylvania Arbitration and Peace Conference|Program for the play the Tragedy of Romeo and Juliet|July 21, 1908|Biology exam|Physics exam|Newspaper clipping, ""Dillettantism is a College Danger""|Newspaper clipping, ""Rockefeller Gives Another $500,000""|Newspaper clipping, ""Sir Martin Leads Field Home in National Stallion Event.""|Letter from Mary Whitall Worthington's mother|Letter from M. Carey Thomas|Letter to M. Carey Thomas","",Primary language: English.,eng,From 1907 to 1908,Bryn Mawr (Pa.),Data/0003/9ls_30_v10/data/9ls_30_v10_TEI.xml
BV 54,Hādhā kitāb sharḥ Mashāriq.|هذا كتاب شرح مشارق,Table of contents|Hādhā kitāb sharḥ Mashāriq,"Ibn Malak, ʻAbd al-Laṭīf ibn ʻAbd al-ʻAzīz|Ṣaghānī, al-Ḥasan ibn Muḥammad, 1181-1252",Arabic with a few notes in Persian,ara|per,1753,Turkey?,Data/0003/bv_054/data/bv_054_TEI.xml
MS 55,Epistulae; Adversus Vigilantium; and De Perpetua virginitate beatae mariae adversus Helvidium,"Hugo de claustro anime in duodecima abusione|Registrarum epistalarum s. hieronimi,|Anno domini 420, Beethleem Jeronimus. Nota,|Epistola gloriosi Ieronimi ad Anthonium monachum|Epistola gloriosi Jeronimi ad Rusticum monachum,|Hieronimus ad Nepotianum presbiterum de institutione clericorum,|Hieronimus ad heliodorum|Hieronimus ad paulinum presbiterum de institutione clericorum et monachorum|Hieronimus ad Oceanum de vita clericorum,|Hieronimi ad oceanum de unius <mo?>ris vno. De conuersatione clericorum,|Epistola Hieronimum ad Anigam spanum ad humilitatem et patientiam prouocans,|Hieronimus ad marcellam de decem nominibus quibus apud ebrios deus uocare,|Hieronimo ad Marcellam de muneribus,|Prologus in epistolam sequentem,|Hieronimi epistola ad matrem et filiam,|Ieronimi epistola consolatoria ad paulam de dormitione filie eius,|Hieronimi ad principiam romanam uirginem,|Epistola sancti Hieronimi ad Exsuperancium,|Hieronimi ad tranquilium quomodo Originem lege debeat,|Epistola Pamachii ad gloriosum Ieronimum,|Epistola Hieronimi presbiteri ad pamachium et Oceanum [modo?] sequitur|Epistola Hieronimi contra vigilancium presbiterum in quo eius blasphemiam arguit|Hieronimus ad Riparium presbiterum contra Vigilantium,|Hieronimus aduersus Vigilantium,|Hieronimus ad Innocentium presbiterum de muliere septies percussa et mirabiliter preservata,|Hieronimus ad Pamachium de optimo genere interpretandi,|Incipit liber sancti Hieronimi contra Helvidium de sancte marie virginitate et castitate,|Incipit liber uigilarum gloriosi Ieronimi,|Epistola sancti Hieronmini paule et eustochie ad marcellam exhortatoria de sanctis locis iherusalem,|Epistola sancti hieronimi ad pamaochium et oceanum,|Epistola sancti Jeronimi ad Saninianum [sic] choortatoria ad penitentiam agendam,|Incipt liber ad furiam de viduitate seruanda,|Epistula beati Ieronmi ad Excellentiam matronam|Epistola sancti Hieronimi ad letam de nutriendis particulis,|Alphabetical subject index|Jeronimus ad demetriadem virginem,","",Latin; Ancient Greek (to 1453),lat|grc,"","Southern Germany, perhaps Regensburg",Data/0003/BMC_MS55/data/BMC_MS55_TEI.xml
MS 52,Traite de la vanite des choses mondaines,Traité de la vanité des choses mondaines,"",Middle French (ca. 1400-1600); Occitan (post 1500),frm|oci,"","Paris?, France",Data/0003/BMC_MS52/data/BMC_MS52_TEI.xml
MS 39,De fide ad gratianum augustum libri quinque,[Book 1]|[Book 2]|[Book 3]|[Book 4]|[Book 5],"",Latin; Ancient Greek (to 1453),lat|grc,"",Italy,Data/0003/BMC_MS39/data/BMC_MS39_TEI.xml
MS 6,"Epistolae ad familiares; Rime, Trionfi, etc.","Cicero, Epistolae ad familiares|Ps.-Cicero, Letter to Octavian|Cicero, Epistolae|Cicero, Letters to Atticus|Cicero, Letters to Brutus|Ps.-Cicero, Synonyma|Ps.-Cicero, De proprietatibus terminorum|Homily on Luke XXI|Homily on Mark XVI|Petrarch, Sonnets, Index|Petrarch, Canzoniere|Petrarch, Rime disperse, poems 4 and 5|Petrarch, Trionfi|Ps.-Seneca, De remediis fortuitorum bonorum liber","",Latin; Italian; Ancient Greek (to 1453),lat|ita|grc,"","Ferrara, Italy|Venice, Italy|Castro Massignani",Data/0003/BMC_MS06/data/BMC_MS06_TEI.xml
MS 8,Jewel roll of Edward I for the years 1300-1,Inventory,"",Latin,lat,"",England,Data/0003/BMC_MS08/data/BMC_MS08_TEI.xml
MS 37,Castle Liturgical Psalter,Psalter,"",Latin,lat,"",Spain,Data/0003/BMC_MS37/data/BMC_MS37_TEI.xml
MS 30,"Havens hours, use uncertain","Hours of the Virgin, use uncertain|Office of the Cross|Office of the Holy Spirit|Obsecro te|Gospel of John|Penitential Psalms|Litany of the Saints|Office of the Dead","",Latin,lat,"",Northern France,Data/0003/BMC_MS30/data/BMC_MS30_TEI.xml
MS 53,Libro de optimo imperatore,"Onosander, Libro de optimo imperatore, Preface|Onosander, Libro de optimo imperatore","",Latin,lat,"","Venice?, Northeastern Italy",Data/0003/BMC_MS53/data/BMC_MS53_TEI.xml
MS 54,Sequentiary (Prosar) for Dominican Use,[Noted sequences for the Temporale beginning with Advent]|[Noted sequences for the Sanctorale]|[Twelve noted sequences for feasts of the Virgin Mary]|De beata elysabeth|[Noted sequence for Saint Ursula]|[Hymn for Pentecost at Vespers and Terce and prayers]|[Prayers],"",Latin; French,lat|fre,"","Poissy?, France",Data/0003/BMC_MS54/data/BMC_MS54_TEI.xml
MS 31,"Havens Breviary, Franciscan Use","Graded Franciscan Calendar|Temporal from Advent through the fourth Sunday of November|General rubrics|The Blessing of Water|Psalter|Canticles and Prayers|Litany|Hymns for Vespers, Matins, and Lauds for the Temporal and the Sanctoral|Office for Blessing the Table|Office of the Communion of the Sick|Office of the Anointing of the Sick|Sanctoral|Feast of the Transfiguration|Common of Apostles and Evangelists|Common of One Martyr|Common of Martyrs|Common of Virgins|Common of Feasts of the Virgin Mary|Office of the Dead","",Latin,lat,"",Northern Europe,Data/0003/BMC_MS31/data/BMC_MS31_TEI.xml
MS 9,De evangelica praeparatione,De evangelica praeparatione,"",Latin,lat,"",Italy,Data/0003/BMC_MS09/data/BMC_MS09_TEI.xml
"12H, Box 2, Folder 5",Helen Griffith Daily Diary,"1903-1909|6:35 PM September 3, 1903|September 24|September 25|September 26|September 27|September 28|September 29|Febuary 28, 1904|Febuary 29|March 1|March 2|March 3|March 4|March 5|March 6|March 9|March 12|March 15|September 29, 1904|September 30, 1904|October 1, 1904|October 2, 1904|October 3|October 4|October 5|October 6|October 7|Octobr 8|October 9|October 10|October 11, 1904|October 12|October 13|October 14/15|October 16|October 17|October 18|October 19|October 20|October 21|October 22|October 23|October 24|October 25|October 26|October 27|October 28|October 29|October 30|October 31|November 1|November 2|November 3|November 4|November 5|November 6|November 7|November 8|November 9|November 10|November 11|November 14|November 18|November 19|November 21|November 23|December 10|December 14|December 18|December 19|December 20|December 22|January 1, 1905|January 2|January 3|January 4|January 5|January 6|January 7|January 8|January 9|January 10|January 11|January 12|January 13|January 14|January 15|January 16|January 17|January 18|January 19|January 20|January 21|January 22|January 23|January 24|January 25, 1905|January 26, 1905|January 27|January 28|January 29|January 30|January 31|Febuary 1|Febuary 2|Decmber 13, 1909|December 14|December 20, 1909|December 24, 1909|December 25, 1909|December 26, 1909|December 28, 1909|December 30, 1909|December 31|Febuary 19|Febuary 20|Febuary 21|Febuary 22|Febuary 23|Febuary 24|Febuary 25|Febuary 26|Febuary 27|Febuary 28|March 1|March 2|March 3|March 4|March 5|March 6|March 7|March 6|March 8|March 9|September 29, 1905|September 30|October 1|January 4, 1907|September 19, 1909|September 20, 1909|September 21, 1909|September 22, 1909|September 23, 1909|September 24, 1909|September 25, 1909|September 26, 1909|September 27, 1909|September 28, 1909|September 29|September 30|October 1|October 2|October 4|October 5|October 6|October 7|October 8, 1909|October 9, 1909|October 11, 1909|October 12|October 14|Friday October 16|Saturday October 16|October 18|October 20|October 21|October 22|October 23|October 24|October 25|October 27|October 28|October 29|October 30|October 31|November 1|November 2|November 3|November 5|November 7|November 8|November 11|November 13|November 14|November 16|November 18|November 19|November 21|November 22|November 24|November 25|November 26|November 27|November 30|December 4|December 5|December 9|December 12","",Primary language: English.,eng,From 1903 to 1909,Bryn Mawr (Pa.),Data/0003/12H_2_5/data/12H_2_5_TEI.xml
MS 7,Constitutiones clementinae,Constitutiones clementinae|Commentary of Joannes Andreae,"",Latin,lat,"","Avignon?, Southern France",Data/0003/BMC_MS07/data/BMC_MS07_TEI.xml
MS 25,"Book of Hours, Use of Rome (""Marquand Hours"")","Calendar|Hours of the Virgin, Use of Rome|Seven Penitential Psalms|Litany and prayers|Office of the Dead, Use of Rome(?)|Short Hours of the Cross|Short Hours of the Holy Spirit|Obsecro te","",Latin,lat,"","Piedmont, Italy",Data/0003/BMC_MS25/data/BMC_MS25_TEI.xml
MS 22,"Castle Hours # 5, Use of Paris","Hymn Ave verum|Calendar of Paris, in French|Gospel Lesson and Passion of Saint John|Prayers|Hours of the Virgin|Short Hours of the Cross|Office of the Dead","",Latin; Middle French (ca. 1400-1600),lat|frm,"",France,Data/0003/BMC_MS22/data/BMC_MS22_TEI.xml
MS 14,Antidotarium,Antidotarium,"",Latin,lat,"",England?,Data/0003/BMC_MS14/data/BMC_MS14_TEI.xml
